date,payems,gdpc,cpiaucsl,unrate,houst,indpro,dspic96,cpilfesl,pcepilfe,pcepi,permit,ulcnfb,a261rx1q020sbea,exports
1947-01-01,,,,,,,,,,,,,,
1947-02-01,0.0005053405306074676,,0.0065176908752329,,,0.0059016823437694,,,,,,,,
1947-03-01,0.001147921114861,,0.0175763182238668,,,0.0058743001180654,,,,,,,,0.05996520604544964
1947-04-01,-0.0024766665902263,,0.0,,,-0.0077842586591776,,,,,,,,
1947-05-01,0.0031954757580634,,-0.0022727272727273,,,0.0039190356269369,,,,,,,,
1947-06-01,0.0039415188597093,-0.0026670598933373,0.0059225512528473,,,7.229142117592957e-06,,,,,,-0.00012519561815327318,-0.0012360927124294,-0.0032825562907113914
1947-07-01,-0.0015293312029217,,0.0067934782608696,,,-0.0058627918745031,,,,,,,,
1947-08-01,0.0049607937269964,,0.007647323436797,,,0.0058973669092998,,,,,,,,
1947-09-01,0.0055277525022747,-0.0020650322519595,0.0196428571428572,,,0.0078074170461939,,,,,,0.0622926187942152,0.0011424207956471,-0.09247156898060005
1947-10-01,0.004705562970839,,0.0030647985989491,,,0.0096908399684383,,,,,,,,
1947-11-01,0.0016437369120263,,0.0065473592317764,,,0.0134341188255269,,,,,,,,
1947-12-01,0.002180559302221,0.0156427638018721,0.0151777970511708,,,0.0037924459523877,,,,,,-0.0178571428571429,0.0095914581505738,-0.040768881832614956
1948-01-01,0.0021982458895044,,0.0115335326783425,,,0.005656701095724,,,,,,,,
1948-02-01,-0.0032677544260166,,-0.0004222972972972583,0.1176470588235294,,0.0018819052380854,,,,,,,,
1948-03-01,0.0033682886847954,0.0150420032404445,-0.0071820870299958,0.0526315789473683,,-0.0112424969155912,,,,,,0.0191419141914193,0.0268046076999814,-0.09907193946917314
1948-04-01,-0.0068034823087079,,0.0136170212765958,-0.025,,0.0018927179429659,,,,,,,,
1948-05-01,0.0093963361049145,,0.0079764903442485,-0.1025641025641025,,0.0170162746113264,,,,,,,,
1948-06-01,0.0053129743727118,0.0165068059376021,0.0058309037900874,0.0285714285714286,,0.0130096178983722,,,,,,0.016073951954781,0.0231435544895779,0.010760448789449484
1948-07-01,0.0027978860416573,,0.0103519668737059,0.0,,0.0,,,,,,,,
1948-08-01,0.00039858281665194895,,0.0012295081967212,0.0833333333333332,,-0.0036673571258786,,,,,,,,
1948-09-01,0.0025676214086503,0.0057293019130506,-0.0028653295128939,-0.0256410256410256,,-0.0073685286800041,,,,,,0.0194124123544068,0.0008125360559940731,-0.050632911392405
1948-10-01,-0.0010818209917428,,-0.0020525451559935,-0.026315789473684,,0.0074232269406142,,,,,,,,
1948-11-01,-0.0011714001547131,,-0.0061703002879472,0.0270270270270269,,-0.0128898128898128,,,,,,,,
1948-12-01,-0.0035404496371038,0.0011171215750664,-0.0045529801324503,0.0526315789473683,,-0.0093292085019405,,,,,,0.005457025920873,0.0051001408002822,0.09962393162393157
1949-01-01,-0.0080831408775982,,-0.0016632016632016,0.0749999999999999,,-0.0094170622390441,,,,,,,,
1949-02-01,-0.0038282439330169,,-0.0041649312786339,0.0930232558139536,,-0.0095065863544246,,,,,,,,
1949-03-01,-0.0057756702699058,-0.013779464904233,0.0,0.0638297872340425,,-0.0191956578881935,,,,,,-0.0040140208050654,-0.019833670248608,-0.02704887451809479
1949-04-01,-9.041591320069207e-05,,0.0004182350480970154,0.06,,-0.0058670568380184,,,,,,,,
1949-05-01,-0.0056967176055701,,-0.0004180602006689238,0.150943396226415,,-0.0137778781630467,,,,,,,,
1949-06-01,-0.0055702073481266,-0.0034110092971006,0.0004182350480970154,0.0163934426229508,,-0.0020020981397479,,,,,,-0.0082306862689447,-0.0028474593055171,-0.09791014251933283
1949-07-01,-0.004755481378175,,-0.0091973244147157,0.0806451612903225,,-0.0019987119411933,,,,,,,,
1949-08-01,0.0021364085364452,,0.0,0.0149253731343284,,0.0100209914179962,,,,,,,,
1949-09-01,0.003576013203741,0.0103242477667069,0.0021097046413502,-0.0294117647058823,,0.0099215674754713,,,,,,-0.0208905677655678,0.0053774478536043,-0.14339355295784628
1949-10-01,-0.0191411603471904,,-0.0033684210526314,0.196969696969697,,-0.0373257513507223,,,,,,,,
1949-11-01,0.0069861673885707,,0.0012674271229402,-0.189873417721519,,0.0265284848851088,,,,,,,,
1949-12-01,0.0064751861616021,-0.0083926744042991,-0.0037974683544304,0.0312499999999997,,0.0178957747722556,,,,,,0.0024551353247208,-0.0135096694718417,-0.03200727814076576
1950-01-01,9.1907541013736e-05,,-0.004235493434985,-0.0151515151515151,,0.0175739174437938,,,,,,,,
1950-02-01,-0.0052612231769516,,0.0042535091450446,-0.0153846153846153,,0.0038433941219513,,,,,,,,
1950-03-01,0.0151742614961776,0.0393009799932306,0.0012706480304955,-0.0156250000000001,,0.0324977707321905,,,,,,-0.0082220537640679,0.0400519327223809,0.014354066985645897
1950-04-01,0.0097374527915548,,0.0004230118443315778,-0.0793650793650794,,0.0333324194278037,,,,,,,,
1950-05-01,0.0075706367446262,,0.0050739957716703,-0.0517241379310344,,0.0233024005518815,,,,,,,,
1950-06-01,0.0081622612818104,0.0304981098764389,0.0046276819520403,-0.018181818181818,,0.0297724768263434,,,,,,0.0091133584195672,0.0412186421402793,0.03546159029649587
1950-07-01,0.0082292660204512,,0.0079564489112229,-0.0740740740740741,,0.0323108590420675,,,,,,,,
1950-08-01,0.0162361948343379,,0.0054009140008308,-0.0999999999999999,,0.0312995438913143,,,,,,,,
